date,price,open_price,high_price,low_price
2024-02-09,168733.2499,,,
2024-02-10,,,,
2024-02-11,,,,
2024-02-12,167765.4583,,,
2024-02-13,168218.5239,,,
2024-02-14,165284.4873,,,
2024-02-15,165848.6105,,,
2024-02-16,166490.4781,,,
2024-02-17,,,,
2024-02-18,,,,
2024-02-19,167705.8751,,,
2024-02-20,168153.0083,,,
2024-02-21,168312.826,,,
2024-02-22,168251.1418,,,
2024-02-23,167483.9294,,,
2024-02-24,,,,
2024-02-25,,,,
2024-02-26,168702.3308,,,
2024-02-27,168700.9083,,,
2024-02-28,167969.3165,,,
2024-02-29,168555.1703,,,
2024-03-01,170000.9899,,,
2024-03-02,,,,
2024-03-03,,,,
2024-03-04,172652.7901,,,
2024-03-05,176253.246,,,
2024-03-06,176226.7569,,,
2024-03-07,178591.6668,,,
2024-03-08,179345.1196,,,
2024-03-09,,,,
2024-03-10,,,,
2024-03-11,180310.5384,,,
2024-03-12,180160.5969,,,
2024-03-13,179040.4242,,,
2024-03-14,179702.9727,,,
2024-03-15,179882.2319,,,
2024-03-16,,,,
2024-03-17,,,,
2024-03-18,178695.1472,,,
2024-03-19,178893.7756,,,
2024-03-20,179094.609,,,
2024-03-21,183821.4681,,,
2024-03-22,180719.2286,,,
2024-03-23,,,,
2024-03-24,,,,
2024-03-25,180947.9512,,,
2024-03-26,182694.7047,,,
2024-03-27,182760.2486,,,
2024-03-28,184062.854,,,
2024-03-29,184402.8783,,,
2024-03-30,,,,
2024-03-31,,,,
2024-04-01,,,,
2024-04-02,188806.0953,,,
2024-04-03,189433.6102,,,
2024-04-04,191307.9437,,,
2024-04-05,190584.5627,,,
2024-04-06,,,,
2024-04-07,,,,
2024-04-08,194648.1474,,,
2024-04-09,196747.468,,,
2024-04-10,195271.6065,,,
2024-04-11,194424.3028,,,
2024-04-12,199714.8515,,,
2024-04-13,,,,
2024-04-14,,,,
2024-04-15,195810.1049,,,
2024-04-16,197860.0082,,,
2024-04-17,200114.435,,,
2024-04-18,198793.8135,,,
2024-04-19,198929.876,,,
2024-04-20,,,,
2024-04-21,,,,
2024-04-22,196848.1957,,,
2024-04-23,191555.7388,,,
2024-04-24,192673.3926,,,
2024-04-25,193833.0424,,,
2024-04-26,193780.0916,,,
2024-04-27,,,,
2024-04-28,,,,
2024-04-29,195127.2595,,,
2024-04-30,193236.1031,,,
2024-05-01,,,,
2024-05-02,191992.3723,,,
2024-05-03,,,,
2024-05-04,,,,
2024-05-05,,,,
2024-05-06,192066.4844,,,
2024-05-07,193291.4495,,,
2024-05-08,192792.3868,,,
2024-05-09,192797.377,,,
2024-05-10,197964.8976,,,
2024-05-11,,,,
2024-05-12,,,,
2024-05-13,195460.6868,,,
2024-05-14,196037.2061,,,
2024-05-15,198000.3868,,,
2024-05-16,199031.0427,,,
